Leto;RastZDA;Stevilo studentov ZDA
1987;-1.9;21829000
1988;4.6;21369000
1989;7.3;21368000
1990;4.2;20747000
1991;3.5;20633000
1992;3.5;20435000
1993;3.5;19276000
1994;2;19270000
1995;0;20516146
1996;2.8;21055472
1997;4;21122632
1998;2.7;21473692
1999;3.8;22444832
2000;4.7;22593562
2001;4;23087042
2002;1;23196310
2003;1.8;23854458
2004;2.8;24185786
2005;3.8;24431934
2006;3.3;24552316
2007;2.7;24731028
2008;1.8;24692888
2009;-0.1;24524564
2010;-2.8;24192786
2011;2.5;24214304
2012;1.6;24122436
2013;2.3;24095460
